QueueSize,DeltaTime
0,52041664540
0,4414
0,3949
0,3778
0,7158
0,9275
0,4627
0,3905
0,4339
0,4263
0,5303
0,5579
0,4035
0,4087
0,3935
0,3861
0,4083
0,4003
0,3863
0,3815
0,3904
0,4092
0,3836
0,3777
0,3893
0,4131
0,4129
0,4143
0,4062
0,4234
0,3962
0,3941
0,4269
0,4440
0,4395
0,4134
0,3955
0,3944
0,3808
0,3908
0,4160
0,4185
0,4242
0,4012
0,4138
0,4276
0,4034
0,3991
0,3987
0,3917
0,3980
0,3958
0,4197
0,4101
0,4093
0,3857
0,3929
0,4262
0,4222
0,4038
0,4098
0,4102
0,3927
0,10428
0,4515
0,3997
0,3904
0,4011
0,4106
0,3901
0,4085
0,4040
0,3821
0,3919
0,3855
0,3852
0,3879
0,3923
0,3933
0,3802
0,3941
0,3802
0,3956
0,4046
0,3965
0,3910
0,4016
0,3867
0,3851
0,3877
0,3791
0,3887
0,3741
0,4092
0,3948
0,3824
0,3873
0,3777
0,3795
0,3774
0,4042
0,3894
0,3992
0,4128
0,3898
0,3895
0,3930
0,3854
0,3843
0,3890
0,3918
0,4247
0,4144
0,3808
0,3874
0,3995
0,3994
0,3778
0,4190
0,3822
0,3840
0,3859
0,3978
0,4235
0,7787
0,7301
0,3961
0,3988
0,3803
0,3803
0,3875
0,3979
0,4199
0,4251
0,3942
0,3972
0,4082
0,4543
0,4001
0,3832
0,3870
0,4066
0,5505
0,4188
0,4272
0,4141
0,4130
0,3801
0,3840
0,3887
0,3858
0,4159
0,3935
0,3940
0,3899
0,3956
0,4178
0,3897
0,4000
0,4098
0,4265
0,3832
0,3827
0,4095
0,3955
0,3902
0,3929
0,4162
0,3950
0,3846
0,3918
0,4323
0,3974
0,3872
0,3996
0,4169
0,3877
0,4193
0,4050
0,3917
0,4074
0,3951
0,4004
0,4248
0,3965
0,13035
0,4474
0,4197
0,4114
0,4298
0,4077
0,3789
0,3972
0,4226
0,3942
0,3893
0,4272
0,4019
0,3892
0,3931
0,3942
0,4216
0,4170
0,4029
0,3951
0,4041
0,3869
0,3942
0,3906
0,4009
0,4060
0,3855
0,4071
0,3918
0,4146
0,4049
0,4461
0,3899
0,4047
0,3789
0,3967
0,4071
